Desplazamiento Bala,Velocidad Bala,Estatus Salto
-650,-750,0
-650,-750,0
-625,-750,0
-600,-750,0
-575,-750,0
-550,-750,0
-525,-750,0
-500,-750,0
-475,-750,0
-450,-750,0
-425,-750,0
-400,-750,0
-375,-750,0
-350,-750,1
-325,-750,1
-300,-750,1
-275,-750,1
-250,-750,1
-225,-750,1
-200,-750,1
-175,-750,1
-150,-750,1
-125,-750,1
-100,-750,1
-75,-750,1
-50,-750,1
-25,-750,1
0,-750,1
25,-750,1
50,-750,1
-650,-362,1
-650,-362,1
-638,-362,1
-626,-362,1
-614,-362,1
-602,-362,0
-590,-362,0
-578,-362,0
-566,-362,1
-554,-362,1
-542,-362,1
-530,-362,1
-518,-362,1
-506,-362,1
-494,-362,1
-482,-362,1
-469,-362,1
-457,-362,1
-445,-362,1
-433,-362,1
-421,-362,1
-409,-362,1
-397,-362,1
-385,-362,1
-373,-362,1
-361,-362,1
-349,-362,1
-337,-362,0
-325,-362,0
-313,-362,0
-301,-362,1
-288,-362,1
-276,-362,1
-264,-362,1
-252,-362,1
-240,-362,1
-228,-362,1
-216,-362,1
-204,-362,1
-192,-362,1
-180,-362,1
-168,-362,1
-156,-362,1
-144,-362,1
-132,-362,1
-120,-362,1
-107,-362,1
-95,-362,1
-83,-362,1
-71,-362,0
-59,-362,1
-47,-362,1
-35,-362,1
-23,-362,1
-11,-362,1
1,-362,1
13,-362,1
25,-362,1
37,-362,1
49,-362,1
50,-362,1
-650,-623,1
-650,-623,1
-630,-623,1
-609,-623,1
-588,-623,1
-567,-623,1
-547,-623,1
-526,-623,1
-505,-623,1
-484,-623,0
-464,-623,0
-443,-623,0
-422,-623,0
-401,-623,0
-381,-623,1
-360,-623,1
-339,-623,1
-318,-623,1
-297,-623,1
-277,-623,1
-256,-623,1
-235,-623,1
-214,-623,1
-194,-623,1
-173,-623,1
-152,-623,1
-131,-623,1
-111,-623,1
-90,-623,1
-69,-623,1
-48,-623,1
