Desplazamiento Bala,Velocidad Bala,Estatus Salto
-650,-741,0
-650,-741,0
-626,-741,0
-601,-741,0
-576,-741,0
-552,-741,0
-527,-741,0
-502,-741,0
-478,-741,0
-453,-741,0
-428,-741,0
-403,-741,0
-379,-741,0
-354,-741,0
-329,-741,0
-305,-741,0
-280,-741,0
-255,-741,0
-231,-741,0
-206,-741,1
-181,-741,1
-156,-741,1
-132,-741,1
-107,-741,1
-82,-741,1
-58,-741,1
-33,-741,1
-8,-741,1
16,-741,1
41,-741,1
50,-741,1
-650,-335,1
-650,-335,1
-639,-335,1
-628,-335,1
-617,-335,1
-606,-335,1
-595,-335,1
-584,-335,1
-572,-335,0
-561,-335,0
-550,-335,0
-539,-335,0
-528,-335,0
-517,-335,0
-505,-335,0
-494,-335,0
-483,-335,0
-472,-335,0
-461,-335,0
-450,-335,0
-438,-335,0
-427,-335,0
-416,-335,0
-405,-335,0
-394,-335,0
-383,-335,0
-371,-335,0
-360,-335,0
-349,-335,0
-338,-335,0
-327,-335,0
-316,-335,0
-304,-335,0
-293,-335,0
-282,-335,0
-271,-335,0
-260,-335,0
-249,-335,0
-237,-335,0
-226,-335,0
-215,-335,0
-204,-335,0
-193,-335,0
-182,-335,0
-170,-335,0
-159,-335,0
-148,-335,1
-137,-335,1
-126,-335,1
-115,-335,1
-103,-335,1
-92,-335,1
-81,-335,1
-70,-335,1
-59,-335,1
-48,-335,1
-36,-335,1
-25,-335,1
-14,-335,1
-3,-335,1
8,-335,1
19,-335,1
31,-335,1
42,-335,1
50,-335,1
-650,-763,1
-650,-763,0
-625,-763,0
-600,-763,0
-574,-763,0
-549,-763,0
-523,-763,0
-498,-763,0
-472,-763,0
-447,-763,0
-422,-763,0
-396,-763,0
-371,-763,0
-345,-763,0
-320,-763,0
-294,-763,0
-269,-763,0
-244,-763,0
-218,-763,0
-193,-763,1
-167,-763,1
-142,-763,1
-116,-763,1
-91,-763,1
-66,-763,1
-40,-763,1
-15,-763,1
11,-763,1
36,-763,1
50,-763,1
-650,-474,1
-650,-474,1
-635,-474,1
-619,-474,1
-603,-474,1
-587,-474,1
-572,-474,1
-556,-474,1
-540,-474,1
-524,-474,0
-508,-474,0
-493,-474,0
-477,-474,0
-461,-474,0
-445,-474,0
-429,-474,0
-414,-474,0
-398,-474,0
-382,-474,0
-366,-474,0
-350,-474,0
-335,-474,0
-319,-474,0
-303,-474,0
-287,-474,0
-271,-474,0
-256,-474,0
-240,-474,0
-224,-474,0
-208,-474,0
-192,-474,0
-177,-474,0
-161,-474,0
-145,-474,1
-129,-474,1
-113,-474,1
-98,-474,1
-82,-474,1
-66,-474,1
-50,-474,1
-34,-474,1
-19,-474,1
-3,-474,1
13,-474,1
29,-474,1
45,-474,1
50,-474,1
-650,-721,1
-650,-721,1
-626,-721,1
-602,-721,1
-578,-721,1
-554,-721,1
-530,-721,1
-506,-721,1
-482,-721,0
-458,-721,0
-434,-721,0
-410,-721,0
-386,-721,0
-362,-721,0
-338,-721,0
-314,-721,0
-290,-721,0
-266,-721,0
-242,-721,0
-218,-721,0
-194,-721,0
-170,-721,1
-146,-721,1
-122,-721,1
-98,-721,1
-74,-721,1
-50,-721,1
-26,-721,1
-2,-721,1
22,-721,1
46,-721,1
50,-721,1
-650,-574,1
-650,-574,1
-631,-574,1
-612,-574,1
-593,-574,1
-574,-574,1
-555,-574,1
-536,-574,1
-517,-574,1
-497,-574,0
-478,-574,0
-459,-574,0
-440,-574,0
-421,-574,0
-402,-574,0
-383,-574,0
-364,-574,0
-344,-574,0
-325,-574,0
-306,-574,0
-287,-574,0
-268,-574,0
-249,-574,0
-230,-574,0
-210,-574,0
-191,-574,0
-172,-574,1
-153,-574,1
-134,-574,1
-115,-574,1
-96,-574,1
-77,-574,1
-57,-574,1
-38,-574,1
-19,-574,1
0,-574,1
19,-574,1
38,-574,1
50,-574,1
-650,-550,1
-650,-550,1
-632,-550,1
-614,-550,1
-595,-550,1
-577,-550,1
-559,-550,1
-540,-550,1
-522,-550,0
-504,-550,0
-485,-550,0
-467,-550,0
-449,-550,0
-430,-550,0
-412,-550,0
-394,-550,0
-375,-550,0
-357,-550,0
-339,-550,0
-320,-550,0
-302,-550,0
-284,-550,0
-265,-550,0
-247,-550,0
-229,-550,0
-210,-550,1
-192,-550,1
-174,-550,1
-155,-550,1
-137,-550,1
-119,-550,1
-100,-550,1
-82,-550,1
-64,-550,1
-45,-550,1
-27,-550,1
-9,-550,1
10,-550,1
28,-550,1
46,-550,1
50,-550,1
-650,-312,1
-650,-312,1
-640,-312,1
-630,-312,1
-619,-312,1
-609,-312,1
-599,-312,0
-588,-312,0
-578,-312,0
-567,-312,0
-557,-312,0
-547,-312,0
-536,-312,0
-526,-312,0
-515,-312,0
-505,-312,0
-495,-312,0
-484,-312,0
-474,-312,0
-463,-312,0
-453,-312,0
-443,-312,0
-432,-312,0
-422,-312,0
-411,-312,0
-401,-312,0
-391,-312,0
-380,-312,0
-370,-312,0
-359,-312,0
-349,-312,0
-339,-312,0
-328,-312,0
-318,-312,0
-307,-312,0
-297,-312,0
-287,-312,0
-276,-312,0
-266,-312,0
-255,-312,0
-245,-312,0
-235,-312,0
-224,-312,0
-214,-312,0
-203,-312,0
-193,-312,0
-183,-312,0
-172,-312,0
-162,-312,1
-151,-312,1
-141,-312,1
-131,-312,1
-120,-312,1
-110,-312,1
-99,-312,1
-89,-312,1
-79,-312,1
-68,-312,1
-58,-312,1
-47,-312,1
-37,-312,1
-27,-312,1
-16,-312,1
-6,-312,1
5,-312,1
15,-312,1
25,-312,1
36,-312,0
46,-312,0
50,-312,0
-650,-572,0
-650,-572,0
-631,-572,0
-612,-572,0
-593,-572,0
-574,-572,0
-555,-572,0
-536,-572,0
-517,-572,0
-498,-572,0
-479,-572,0
-460,-572,0
-441,-572,0
-422,-572,0
-403,-572,0
-384,-572,0
-364,-572,0
-345,-572,0
-326,-572,0
-307,-572,0
-288,-572,0
-269,-572,0
-250,-572,0
-231,-572,0
-212,-572,1
-193,-572,1
-174,-572,1
-155,-572,1
-136,-572,1
-117,-572,1
-98,-572,1
-78,-572,1
-59,-572,1
-40,-572,1
-21,-572,1
-2,-572,1
17,-572,1
36,-572,1
50,-572,1
-650,-639,1
-650,-639,1
-629,-639,1
-608,-639,1
-587,-639,1
-565,-639,1
-544,-639,1
-523,-639,0
-501,-639,0
-480,-639,0
-459,-639,0
