Desplazamiento Bala,Velocidad Bala,Estatus Salto
-650,-639,0
-650,-639,0
-629,-639,0
-608,-639,0
-587,-639,0
-565,-639,0
-544,-639,0
-523,-639,0
-501,-639,0
-480,-639,0
-459,-639,0
-438,-639,0
-416,-639,0
-395,-639,0
-374,-639,0
-352,-639,0
-331,-639,0
-310,-639,0
-288,-639,0
-267,-639,0
-246,-639,0
-225,-639,0
-203,-639,1
-182,-639,1
-161,-639,1
-139,-639,1
-118,-639,1
-97,-639,1
-75,-639,1
-54,-639,1
-33,-639,1
-12,-639,1
10,-639,1
31,-639,1
50,-639,1
-650,-458,1
-650,-458,1
-635,-458,1
-620,-458,1
-605,-458,1
-589,-458,1
-574,-458,1
-559,-458,1
-544,-458,0
-528,-458,0
-513,-458,0
-498,-458,0
-483,-458,0
-467,-458,0
-452,-458,0
-437,-458,0
-422,-458,0
-406,-458,0
-391,-458,0
-376,-458,0
-360,-458,0
-345,-458,0
-330,-458,0
-315,-458,0
-299,-458,0
-284,-458,0
-269,-458,0
-254,-458,0
-238,-458,0
-223,-458,0
-208,-458,0
-193,-458,0
-177,-458,0
-162,-458,1
-147,-458,1
-131,-458,1
-116,-458,1
-101,-458,1
-86,-458,1
-70,-458,1
-55,-458,1
-40,-458,1
-25,-458,1
-9,-458,1
6,-458,1
21,-458,1
36,-458,1
50,-458,1
-650,-728,1
-650,-728,1
-626,-728,1
-602,-728,1
-578,-728,1
-553,-728,1
-529,-728,1
-505,-728,0
-481,-728,0
-456,-728,0
-432,-728,0
-408,-728,0
-384,-728,0
-359,-728,0
-335,-728,0
-311,-728,0
-287,-728,0
-262,-728,0
-238,-728,0
-214,-728,0
-189,-728,0
-165,-728,0
-141,-728,0
-117,-728,1
-92,-728,1
-68,-728,1
-44,-728,1
-20,-728,1
5,-728,1
29,-728,1
50,-728,1
-650,-645,1
-650,-645,1
-629,-645,1
-607,-645,1
-586,-645,1
-564,-645,1
-543,-645,1
-521,-645,1
-500,-645,1
-478,-645,0
-457,-645,0
-435,-645,0
-414,-645,0
-392,-645,0
-371,-645,0
-349,-645,0
-328,-645,0
-306,-645,0
-285,-645,0
-263,-645,0
-242,-645,0
-220,-645,0
-199,-645,0
-177,-645,0
-156,-645,1
-134,-645,1
-113,-645,1
-91,-645,1
-70,-645,1
-48,-645,1
-27,-645,1
-5,-645,1
16,-645,1
38,-645,1
50,-645,1
-650,-567,1
-650,-567,1
-632,-567,1
-613,-567,1
-594,-567,1
-575,-567,1
-556,-567,1
-537,-567,1
-518,-567,1
-499,-567,0
-480,-567,0
-462,-567,0
-443,-567,0
-424,-567,0
-405,-567,0
-386,-567,0
-367,-567,0
-348,-567,0
-329,-567,0
-310,-567,0
-291,-567,0
-273,-567,0
-254,-567,1
-235,-567,1
-216,-567,1
-197,-567,1
-178,-567,1
-159,-567,1
-140,-567,1
-121,-567,1
-102,-567,1
-84,-567,1
-65,-567,1
-46,-567,1
-27,-567,1
-8,-567,1
11,-567,1
30,-567,1
49,-567,1
50,-567,1
-650,-388,1
-650,-388,1
-638,-388,1
-625,-388,1
-612,-388,0
-599,-388,0
-586,-388,0
-573,-388,0
-560,-388,0
-547,-388,0
-534,-388,0
-521,-388,0
-508,-388,0
-495,-388,0
-482,-388,0
-469,-388,0
-457,-388,0
-444,-388,0
-431,-388,0
-418,-388,0
-405,-388,0
-392,-388,0
-379,-388,0
-366,-388,0
-353,-388,0
-340,-388,0
-327,-388,0
-314,-388,0
-301,-388,0
-288,-388,0
-275,-388,0
-263,-388,0
-250,-388,0
-237,-388,0
-224,-388,0
-211,-388,0
-198,-388,0
-185,-388,0
-172,-388,0
-159,-388,0
-146,-388,0
-133,-388,1
-120,-388,1
-107,-388,1
-94,-388,1
-81,-388,1
-69,-388,1
-56,-388,1
-43,-388,1
-30,-388,1
-17,-388,1
-4,-388,1
9,-388,1
22,-388,1
35,-388,1
48,-388,1
50,-388,1
-650,-747,1
-650,-747,1
-626,-747,1
-601,-747,1
-576,-747,1
-551,-747,1
-526,-747,0
-501,-747,0
-476,-747,0
-451,-747,0
-426,-747,0
-402,-747,0
-377,-747,0
-352,-747,0
-327,-747,0
-302,-747,0
-277,-747,0
-252,-747,0
-227,-747,1
-202,-747,1
-177,-747,1
-153,-747,1
-128,-747,1
-103,-747,1
-78,-747,1
-53,-747,1
-28,-747,1
-3,-747,1
22,-747,1
47,-747,1
50,-747,1
-650,-460,1
-650,-460,1
-635,-460,1
-620,-460,1
-604,-460,1
-589,-460,1
-574,-460,1
-558,-460,1
-543,-460,0
-528,-460,0
-512,-460,0
-497,-460,0
-482,-460,0
-466,-460,0
-451,-460,0
-436,-460,0
-420,-460,0
-405,-460,0
-390,-460,0
-374,-460,0
-359,-460,0
-344,-460,0
-328,-460,0
-313,-460,0
-298,-460,0
-282,-460,0
-267,-460,0
-252,-460,0
-236,-460,0
-221,-460,0
-206,-460,0
-190,-460,0
-175,-460,0
-160,-460,0
-144,-460,1
-129,-460,1
-114,-460,1
-98,-460,1
-83,-460,1
-68,-460,1
-52,-460,1
-37,-460,1
-22,-460,1
